Question,Answer,Correct,Title
What is the difference between regression and classification?,"Machine learning models can be trained to do classification, but not regression.

In regression, the correct answers have numerical value, but in classification the correct answers are categories.

In regression, the input data is structured, but in classification the input data is unstructured.

Machine learning models can be trained to do regression, but not classification.","In regression, the correct answers have numerical value, but in classification the correct answers are categories.","Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
What is an example of unstructured data?,"Patient BMI

Patient sex

Patient CT 

All numerical values in a patient’s medical record.",Patient CT ,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
What is a decision boundary?,"The line predicted by a regression model.

A metric that differentiates radiologists from statistical models.

A metric that determines when the model can be used on real patient data.

The line at which a classifier’s predictions change from one value to another.",The line at which a classifier’s predictions change from one value to another.,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
What are Support Vector Machines (SVMs)?,"SVMs attempts to bring support vector points closer together.

SVMs generate support vector points in order to minimize the loss function.

SVMs remove support vector points in order to minimize the loss function.

SVMs maximally separates the closest support vector points.",SVMs maximally separates the closest support vector points.,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
What algorithm allows neural networks to train?,"Expectation-Maximization (EM)

Matrix factorization

Data augmentation

Gradient descent",Gradient descent,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
What are word embeddings?,"Language models that are faster than RNNs due to their GPU parallelization capabilities

Representations of words that allow them to be processed by neural networks

Language models used in industry

Vectors that represent images as words",Representations of words that allow them to be processed by neural networks,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
What is reinforcement learning?,"A branch of machine learning that seeks to group unlabeled data into semantically meaningful clusters.

A branch of machine learning that seeks to train AI models using a static, labeled dataset.

A branch of machine learning that seeks to train statistical models to aid law enforcement.

A branch of machine learning that trains a reward-seeking AI agent in an interactive environment.",A branch of machine learning that trains a reward-seeking AI agent in an interactive environment.,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
What is one way to address underfitting?,"Multiply the loss function by a constant factor during training.

Increase the number of parameters in the model.

Apply data augmentation to the input data.

Apply dropout to the model parameters.",Increase the number of parameters in the model.,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
What is one way to address overfitting? ,"Remove data from the validation set.

Remove clinical variables from the input data.

Increase the number of parameters in the model.

Add a weight decay term in the loss function. ",Add a weight decay term in the loss function. ,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
What are the two axes on a Receiver Operating Characteristic (ROC) curve?,"Sensitivity, specificity

Precision, Specificity

Precision, Recall

False positive rate, true positive rate","False positive rate, true positive rate","Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
What is one factor that will most influence the choice of operating point for a model?,"The cost of training the model

The average loss of the model during training

Severe side effects associated with treatment

The number of hyperparameters in the model",Severe side effects associated with treatment,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
Which of the following is a method to address class imbalance?,"Curate more data from majority class

Downsampling data from minority class

Upsampling data from minority class

Upsampling data from majority class",Upsampling data from minority class,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
Which statement best represents the relationship between machine learning and functions learned from data?,"The function (trained model) represents associations between data and labels that are encoded via a rules-based method

The function (trained model) represents associations between data and labels that are already known

The function (trained model) represents associations between data and labels and are most often correlations

The function (trained model) represents associations between data and labels and are most often causative",The function (trained model) represents associations between data and labels and are most often correlations,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
What is the most accurate description of the “data shelf-life” concept?,"Retrospective medical data is not useful in training clinically useful models.

Medical data retains value due to historical similarity in human biology and physiology

Changing medical practice challenges over time reduces the value of historical medical data.

Older data is more valuable than newer data for training clinically useful machine learning models.",Changing medical practice challenges over time reduces the value of historical medical data.,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
"You have developed a supervised machine learning model to predict patients in your practice who have >90%  risk of acute stroke in a 6 month window.  After reviewing the model performance, your team has determined that the prediction model is using annual income in order to predict stroke risk.  Which of the following represents the BEST application of this model: ","Deploy the model in a primary care practice to provide clinical decision support for medication and therapeutic decisions

Deploy the model in a managed care organization to make financial risk estimates for cost projections

Deploy the model in an emergency room to triage patients presenting with symptoms concerning for stroke

Deploy the model in a smartphone app for patients to use in making lifestyle and health decisions",Deploy the model in a managed care organization to make financial risk estimates for cost projections,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
Which of the following are considered critical skills to have in an ideal clinical machine learning model team?,"Data Scientist

Domain Expert

Biostatistics

Health IT

All of the above",All of the above,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
Which of the following is NOT an example of an important question to answer in before choosing a clinical problem to address with machine learning?,"What is the capacity to intervene given existing resources?

What are the mechanics of executing the intervention? 

Who is the target user of the model’s output? 

Which hyper-parameter settings are best for the neural network?",Which hyper-parameter settings are best for the neural network?,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
Which of the following statements about bias in clinical machine learning is TRUE:,"Clinical machine learning applications are likely to replace most skilled clinical roles and disproportionately spare roles traditionally held by under-represented groups

Most clinical machine learning applications are based on unbiased data leading to wide generalizability

Machine learning and computer science is widely recognized as a racially and gender diverse field 

Clinical machine learning applications could further disseminate medical knowledge to reduce access disparities in under-served populations",Clinical machine learning applications could further disseminate medical knowledge to reduce access disparities in under-served populations,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
"While there are many types of algorithmic fairness measures, we focused on three main types of algorithmic fairness in our lecture. Which of the following is not one of the main fairness algorithms?","Infra-marginality

Classification parity

Calibration

Anti-classification",Infra-marginality,"Final Exam

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
Good Machine Learning Practices includes what aspects of the FDA’s total product life cycle?,"Data selection and management

Model training and tuning

Model validation, including performance and clinical evaluation.

All of the above",All of the above,"Final Exam

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
Which of the following is not a reason why we need AI in healthcare?,"Improving diagnostics

Reducing Bias 

Reducing errors

Clinical reliability",Reducing Bias ,"Final Exam

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
"Currently, rule-based phenotypes are constructed by groups of medical experts. The phenotypes are used by computers as discussed throughout this module. Can you think about how these rules could be used in medical education to train future clinicians?",,,"Knowledge Check

Practice Quiz
.
 • 30 min
.
 • 
3 total points available.
3 total points"
Which of the following is FALSE regarding healthcare delivery organizations such as physician practices or hospitals in the US?,"Physician practices and the facilities in which physicians provide services are always integrated into the same organization

Essentially all delivery organizations are a part of a physician practice or a hospital

Healthcare delivery organizations can be operated by the government

Both non-profit and for-profit organizations face economic pressures",Physician practices and the facilities in which physicians provide services are always integrated into the same organization,"Knowledge Check

Practice Quiz
.
 • 30 min
.
 • 
3 total points available.
3 total points"
Which of the following would NOT lead to an increase in the risk facing a population?,"Expanding employment opportunities that lead to an increase in per-capita income

Building more hospitals, and an accompanying increase in the probability that a person will be hospitalized

The arrival of a costly drug that offered a new opportunity to treat a previously untreatable condition

The creation of new surgical techniques that replace earlier less expensive techniques",Expanding employment opportunities that lead to an increase in per-capita income,"Knowledge Check

Practice Quiz
.
 • 30 min
.
 • 
3 total points available.
3 total points"
Which of the following statements is true?,"Multiple stakeholders are necessary to approve different components of the AI solution 

Stakeholder involvement should be considered in the design and deployment attributes of the AI solution but not in the development 

Multiple stakeholders must be involved when developing a useful AI solution.   

Stakeholder involvement should be considered in the development and deployment attributes of the AI solution but not in the design ",Multiple stakeholders must be involved when developing a useful AI solution.   ,"Knowledge Check

Practice Quiz
.
 • 30 min
.
 • 
3 total points available.
3 total points"
A researcher would like to develop an AI solution to predict in-hospital mortality among patients being treated for ischemic heart failure.  The solution was developed using retrospective data from the academic medical center. Which of the following needs to be evaluated before the development phase?,"What action can be taken based on the model output

Who needs to take the action 

A and B

Is funding secured to ensure dissemination and scalability of the model",A and B,"Knowledge Check

Practice Quiz
.
 • 30 min
.
 • 
3 total points available.
3 total points"
Which of the following forces are likely responsible for the acceleration interest in developing and application of AI in healthcare:,"Computer science algorithms replacing medical workers

Large scale adoption of digital health records

Slowed growth in computing processing power

Requirement of computer science training in medical school",Large scale adoption of digital health records,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
Which of the following are potential applications of machine learning in healthcare: ,"Optimizing care delivery

Healthcare Information Management 

Cognitive support for clinical care and prediction

Early detection and personalized risk assessment

All of the above",All of the above,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
What is the purpose of the validation set?,"To introduce noise to the dataset, enabling the model to become more robust to unseen data.

To measure the generalization performance of the model, without overfitting the test set.

To allow the model to see extra training samples during the optimization step.

To prevent the model from memorizing the training set through randomly turning off some of the model weights.","To measure the generalization performance of the model, without overfitting the test set.","Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
What is the purpose of a loss function?,"To identify a clinical use case for reinforcement learning

To calculate the AUROC of a set of model predictions when the neural network is not available

To give a neural network feedback on its performance relative to ground truth

To identify which model architecture to use if working with unstructured data",To give a neural network feedback on its performance relative to ground truth,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
Why would one use a Transformer instead of an RNN?,"Transformers are faster than RNNs due to their ability to process inputs in parallel.

RNNs use backpropagation in order to minimize loss, and Transformers do not.

RNNs rely on data augmentation to process sequential input, but Transformers do not.

Transformers use memory in order to handle sequential input, but RNNs do not.",Transformers are faster than RNNs due to their ability to process inputs in parallel.,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
What happens when a model is overfitting?,"It achieves good performance on training data, and on unseen data.

It achieves bad performance on training data, and on unseen data.

It achieves good performance on unseen data, but not on the training set.

It achieves good performance on training data, but not on unseen data.","It achieves good performance on training data, but not on unseen data.","Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
Which of the following is an accurate statement about data in machine learning model development and deployment? ,"Missing data can lead to biased results and model failure in practice

There is rarely a difference between the data used in training and the data used in practice

Heterogeneity of data sources is an advantage for machine learning applications.

Missing data is not a challenge for EHR data sources.",Missing data can lead to biased results and model failure in practice,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
Choose the definition that best describes the “output action pair” framework to clinical machine learning project development:,"The output-action pair is an approach for estimating valuation for medical AI startups

The output-action pair is an approach for exploring whether a clinical problem is worth solving with machine learning

The output-action pair is an approach for choosing between different machine learning model architectures

The output-action pair is an approach for planning marketing slogans for clinical machine learning applications in the commercial marketplace",The output-action pair is an approach for exploring whether a clinical problem is worth solving with machine learning,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
Which of the following is the best definition of automation bias?,"Humans tend to follow the recommendations of automated systems even when conflicting with their own judgement

Humans tend to ignore the recommendations of automated systems even when it agrees with their own judgement.

Humans tend to follow their own judgement more often even when it conflicts with an automated system recommendation

Humans tend to follow the recommendations of older automated systems when conflicting with newer automated systems",Humans tend to follow the recommendations of automated systems even when conflicting with their own judgement,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
Which of the following is true regarding risk or risk pooling?,"Risk pooling normally replaces an individual’s small chance of facing a potentially large cost with the certainty of facing a smaller cost. 

Risk pooling does not occur in countries where the government pays for healthcare using tax revenues. 

Risk pooling is beneficial for patients, but not for healthcare providers. 

Risk pooling typically reduces the chance that someone would get health care that they don’t really need. ",Risk pooling normally replaces an individual’s small chance of facing a potentially large cost with the certainty of facing a smaller cost. ,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
"Which of the following most accurately describes a “physician network,” in the context of U.S. health insurance?","A group of physicians who have been contracted by an insurance company to provide care to the insurance company’s members

A group of physicians who are within the same geographic area

A group of physicians who have independently agreed to work together on the care of a single patient covered by an insurer

A group of physicians who all work at hospitals contracted by the insurer",A group of physicians who have been contracted by an insurance company to provide care to the insurance company’s members,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
Which of the following is true of capitation?,"Capitation combats the problem of adverse selection since providers will want to take the sickest patients. 

Capitation shifts risk from the provider to the insurer.

Capitation pays the provider a fixed amount for a specific service; for example, one knee replacement. 

Physicians will benefit from having as few people in their panel as possible.

Capitation incentivizes providers to provide fewer costly, time-intensive services than fee for service payments. ","Capitation incentivizes providers to provide fewer costly, time-intensive services than fee for service payments. ","Final Assessment

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
Which of the following does NOT accurately match a hospital reimbursement term with a description?,"Per diem, Medicare reimburses a hospital for each day a patient is admitted

Fee-for-service, An insurance company reimburses a hospital for each laboratory service given to a patient

Prospective payment, Medicare reimburses a hospital a fixed amount for a patient admitted with a diagnosis of pneumonia, regardless of the care received 

Global budget, Medicaid reimburses a hospital for every treatment a patient receives during the length of her stay ","Global budget, Medicaid reimburses a hospital for every treatment a patient receives during the length of her stay ","Final Assessment

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
"Consider a person who has a very high expected medical spending for a year. They don’t have a preference for what providers they see, and their only priority is to get their care for the lowest cost possible (cost considers both the premium and out-of-pocket payments). Based on this information alone, what type of health insurance plan might they most likely prefer?","High Deductible Health Plan (HDHP)

Preferred Provider Organization (PPO) 

Traditional Indemnity 

Health Maintenance Organization (HMO) ",Traditional Indemnity ,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
"Assume a patient has an upcoming medical procedure that will cost $1000.  
 
 

Suppose the patient is in a health plan with a $50 copay for medical procedures.  Suppose that the patient has previously had $2000 in health care expenses in the year.  How much can the patient expect to pay out of pocket for this procedure?
 

$_______

Please write the answer in numeric form. No need to add a dollar sign.",,,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
Which of the following does NOT accurately describe Medicare?,"Medicare is a government-run program that covers adults age 65 years and older

Medicare has been responsible for major innovations in the US healthcare system, including the DRG system and the concept of ACOs

Though it covers physician and hospital costs, Medicare does not have provisions for covering prescription drug costs

Most of the financing for Medicare comes from taxpayer dollars","Though it covers physician and hospital costs, Medicare does not have provisions for covering prescription drug costs","Final Assessment

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
Which of the following accurately matches a phase of a drug trial with its description?,"Phase I - Animal testing

Phase II - Testing in small groups of healthy volunteers to determine safety, dosing

Phase III - Testing in thousands of people with the condition of interest to assess effectiveness and longer-term reactions/outcomes

Phase IV - Assessment of competitor generics after patent expiration ",Phase III - Testing in thousands of people with the condition of interest to assess effectiveness and longer-term reactions/outcomes,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
"Here are some common examples of AI that analyze the financing and delivery of health care with the purpose of increasing efficiency. 

An insurance company builds an algorithm to predict opioid use from an employer’s claims data, using employee data that is stripped of identifiers to be HIPAA-compliant.  The company will sell their model to employers broadly, even those that do not contract with them for health insurance.

 A small health care start-up company has developed a machine learning model to predict the onset of cardiovascular diseases, including hypertension and heart failure, in order to identify patients who might benefit from receiving preventive interventions such as lipid-lowering medications.

In order to avoid fines from the Medicare Hospital Readmissions Reduction Program (HRRP), a health system is developing an AI-based model to predict which of their patients who are hospitalized with a principal diagnosis of pneumonia will be readmitted within 30 days after the patient was admitted.  A large national study of Medicare beneficiaries found that the HRRP did lower risk-adjusted readmissions rates of pneumonia patients.  It also found that the 30-day and 1-year risk-adjusted mortality rates increased.

The Association for Computing Machinery code of ethics includes a principle of avoiding harm, whether intended or unintended.

QUESTION:

What are examples of harm in the ACM code?",,,"Reflection Exercise

Practice Quiz
.
 • 15 min
.
 • 
2 total points available.
2 total points"
"Think about each of the examples of AI above.  Could any of them cause unjustified or unfair harm, especially to patients?  What sources of bias, error, and harm should the AI developers be alert to?",,,"Reflection Exercise

Practice Quiz
.
 • 15 min
.
 • 
2 total points available.
2 total points"
What is a pro of using k-fold cross-validation instead of a hold-out validation set for hyperparameter tuning?,"Requires less overall time to train a model, due to the reduced number of training samples

Regularizes the model by randomly selecting training examples automatically

Improves model convergence rates because many hyperparameters can be tested at the same time

Produces a more reliable estimate of the generalization performance of the model",Produces a more reliable estimate of the generalization performance of the model,"Phase 3. Project 2

Graded Quiz
.
 • 30 min

DueAug 6, 11:59 PM +07"
What is a con of using k-fold cross-validation instead of a hold-out validation set for hyperparameter tuning? ,"Increases the overall memory requirements of the model during training, due to the higher number of samples seen during training

Requires more overall time to train a model, due to the repeated training runs associated with each experiment

Decreases model generalization performance because the model is able to learn on the test set

Increases the number of parameters in the overall model, which leads to overfitting","Requires more overall time to train a model, due to the repeated training runs associated with each experiment","Phase 3. Project 2

Graded Quiz
.
 • 30 min

DueAug 6, 11:59 PM +07"
What are common criteria used for early stopping? Check all that apply. ,"Validation loss

Validation AUROC

Test loss

Training AUROC

Test AUROC

Training loss","Validation loss

Validation AUROC","Phase 3. Project 2

Graded Quiz
.
 • 30 min

DueAug 6, 11:59 PM +07"
Which of the following hyperparameters are exclusive to deep learning models? Check all that apply.,"Class weights (loss function)

Learning rate

Weight decay strength

Number of layers

Dropout probability","Number of layers

Dropout probability","Phase 3. Project 2

Graded Quiz
.
 • 30 min

DueAug 6, 11:59 PM +07"
What learning phenomena is the team observing now? ,"Generalization

Underfitting

Overfitting

Convergence",Overfitting,"Phase 3. Project 1

Graded Quiz
.
 • 30 min

DueAug 6, 11:59 PM +07"
What are some techniques that can be applied in order to improve generalization performance? Check all that apply.  ,"Increasing the number of model parameters

Weight decay (L2 regularization)

Early stopping

Dropout

Stronger data augmentation","Weight decay (L2 regularization)

Early stopping

Dropout

Stronger data augmentation","Phase 3. Project 1

Graded Quiz
.
 • 30 min

DueAug 6, 11:59 PM +07"
What is weight decay? ,"An added penalty in the loss function that mitigates class imbalance

An added penalty in the loss function that encourages semantic clustering in feature space

An added penalty in the loss function that discourages models from becoming overly complex

An added penalty in the loss function that ensures the model is well calibrated",An added penalty in the loss function that discourages models from becoming overly complex,"Phase 3. Project 1

Graded Quiz
.
 • 30 min

DueAug 6, 11:59 PM +07"
What does dropout do?,"Dropout randomly removes layers in the network during training in order to improve the rate of convergence

Dropout randomly removes neurons in the network during training in order to prevent overreliance on any one neuron

Dropout randomly removes layers in the network during training in order to prevent overreliance on any one layer

Dropout randomly removes neurons in the network during training in order to improve the rate of convergence",Dropout randomly removes neurons in the network during training in order to prevent overreliance on any one neuron,"Phase 3. Project 1

Graded Quiz
.
 • 30 min

DueAug 6, 11:59 PM +07"
Which of the following are tunable hyperparameters? Check all that apply. ,"Learning rate

Dropout probability

Model weights

Weight decay strength","Learning rate

Dropout probability

Weight decay strength","Phase 3. Project 1

Graded Quiz
.
 • 30 min

DueAug 6, 11:59 PM +07"
"The team is noticing counterintuitive results regarding the performance of the model when measured with accuracy and AUROC. What is likely occurring? NOTE: There are 27,000 COVID-negative exams and 3,000 COVID-positive exams, a breakdown of 90% negative cases and 10% positive cases.","AUROC is a poor metric for performance because it can only be used in multi-class settings

Accuracy is a poor metric for performance because of the high class imbalance

Accuracy is a poor metric for performance because of the small number of samples in the test set

AUROC is a poor metric for performance because they have a predetermined threshold in mind",Accuracy is a poor metric for performance because of the high class imbalance,"Phase 3. Project 1

Graded Quiz
.
 • 30 min

DueAug 6, 11:59 PM +07"
Further analysis shows that the model is predicting that every patient is COVID-negative. What can be done to mitigate this effect? Check all that apply.  ,"Using dropout during training to improve performance on the test set

Lowering the learning rate to improve convergence

Undersampling COVID-positive exams during training

Upweighting COVID-positive exams loss during training","Undersampling COVID-positive exams during training

Upweighting COVID-positive exams loss during training","Phase 3. Project 1

Graded Quiz
.
 • 30 min

DueAug 6, 11:59 PM +07"
"Before you deploy the model, you want to test the fairness of the model based on anti-classification.  What variables would  you use to test fairness?","Gender

Race

County of residence

Gender and Race

All of the above",All of the above,"Phase 5

Graded Quiz
.
 • 30 min

DueAug 20, 11:59 PM +07"
You provide the model output to the clinical team. What would be the risk category? ,"Category I

Category II

Category III

Category IV",Category II,"Phase 5

Graded Quiz
.
 • 30 min

DueAug 20, 11:59 PM +07"
"Given the novelty of COVID, what do you think could be used for the valid clinical association argument?","Performance of a clinical trial based on your AI solution

Literature Searches

Examples of how your model can generate new evidence

All of the above",All of the above,"Phase 5

Graded Quiz
.
 • 30 min

DueAug 20, 11:59 PM +07"
"Your model uses past symptoms as a predictor for invasive mechanical ventilation, however 40% of your population are on public insurance and likely do not have the same access to care as those on private insurance. How would this bias your results?","Under reporting of symptoms in public insured patients

Patients on public insurance are likely to have more symptoms than patients on private insurance because they are known to have more comorbidities

This will not bias the outcome, need for invasive mechanical ventilation because symptoms were not a top predictor of the outcome

None of the above",Under reporting of symptoms in public insured patients,"Phase 5

Graded Quiz
.
 • 30 min

DueAug 20, 11:59 PM +07"
Which of the following best represents an episode-based payment?,"Medicare reimburses a hospital a fixed amount for a total knee replacement

Medicaid reimburses a physician a fixed amount to care for a panel of patients over a given time period

An independent practice association rewards its member groups based on how many new patient visits they bring to the practice 

An urgent care physician reimburses her administrative assistant for every clinic shift he works",Medicare reimburses a hospital a fixed amount for a total knee replacement,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
Which payment system transfers the most risk to providers?,"Per-diem

DRG system

Fee-for-service

Global budgets",Global budgets,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
Which of the following is true of generic drugs?,"They are generally made by the same manufacturer as the branded drug

They are allowed to be close to but not the exact chemical composition as the branded drug

Once they enter the market, the branded drug is no longer sold

They go through a different FDA approval process than the original branded drug",They go through a different FDA approval process than the original branded drug,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
Which of the following is NOT an example of an outcome measure?,"Hospital mortality rates

Hospital readmission rates

Percentage of providers appropriately credentialed 

Patient-reported outcomes",Percentage of providers appropriately credentialed ,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
Which of the following statements most accurately describes machine learning?,"Machine learning more commonly focuses on a-priori assumptions about data

Machine learning emphasizes obtaining small samples of data to generate predictive models

Machine learning focuses on interpretability over performance

Machine learning systems tend to improve performance for a given task with larger quantities of data",Machine learning systems tend to improve performance for a given task with larger quantities of data,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
What is unsupervised learning?,"Fitting a model without manually tuning the input features, i.e. unstructured data

Finding patterns in a dataset using limited labeled data

Finding patterns in a dataset based on the structure of the data as opposed to pre-determined labels 

Fitting a model using de-identified patient data",Finding patterns in a dataset based on the structure of the data as opposed to pre-determined labels ,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
What is an advantage of using Decision Trees over other machine learning methods?,"They are simple to understand and interpret and can work on small datasets. 

They can be used for both classification and regression, whereas others are limited to one or the other.

They allow for the processing of unstructured data, such as images and sequences of text.

They can overfit datasets better than other methods because of the number of parameters learned.",They are simple to understand and interpret and can work on small datasets. ,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
Why would one use a Transformer instead of a fully connected network (DNN)?,"DNNs use filters in order to process sequential input, but Transformers do not.

Transformers can relate sequential input to one another, and DNNs cannot. 

Transformers are faster than DNNs.

DNNs process text all at once, and Transformers process text one at a time.","Transformers can relate sequential input to one another, and DNNs cannot. ","Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
What is one advantage of using a Precision-Recall Curve over an ROC Curve?,"It demonstrates the relationship between Recall and the false positive rate at various threshold points.

It is more robust to imbalanced data

It allows statisticians to determine if the model is overfitting or underfitting

It automatically chooses the operating point to maximize clinical utility.",It is more robust to imbalanced data,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
Which of the following is an example of a clinical machine learning project goal that could be categorized as “prediction + practice of care”? ,"Estimating 6-month mortality risk for heart failure patients

Diagnosing lung cancer on chest computed tomography (CT) imaging

Discovering new genomic relationships to medication allergies

Forecasting the staffing needs of ICU nursing ",Forecasting the staffing needs of ICU nursing ,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
"For automated triage, which of the following is the most important metric to satisfy when choosing an operating point? ","Sensitivity / Recall, as it measures how many positive samples are correctly predicted as positive

PPV / Precision, as it measures how many of the samples predicted positive are actually positive

Intersection Over Union (IOU), as it measures how well the model is able to segment the lesions

Specificity, as it measures how many negative samples are correctly predicted as negative","PPV / Precision, as it measures how many of the samples predicted positive are actually positive","Phase 4. Project 2

Graded Quiz
.
 • 30 min

DueAug 13, 11:59 PM +07"
Who is the beneficiary of the EHR-based invasive mechanical ventilation predictor? ,"The provider - the output helps the clinician manage their patients

The patient - the output will help the patient make informed decisions

The hospital - the output will identify the need for additional ICU rooms

None of the above",The provider - the output helps the clinician manage their patients,"Phase 4. Project 2

Graded Quiz
.
 • 30 min

DueAug 13, 11:59 PM +07"
Hypoxemia is an important feature in the EHR-based invasive mechanical ventilation predictor model that was validated in the independent sample. This can be used as a component of the:,"Valid clinical association

Analytical validation

Clinical validation

None of the above",Valid clinical association,"Phase 4. Project 2

Graded Quiz
.
 • 30 min

DueAug 13, 11:59 PM +07"
The model has identified that patient X is at high risk of invasive mechanical ventilation within the next 48 hours and this information was sent to the clinical team. What action can be taken based on the prediction and any mitigation strategy. ,"Reserve a ventilator and bed  in ICU to ensure the patient has the resources they need when they begin to clinically decline

Administration of an experimental drug currently under investigation for COVID deterioration

Notify the insurance company to ensure payment of the anticipated extended length of stay

None of the above",Administration of an experimental drug currently under investigation for COVID deterioration,"Phase 4. Project 2

Graded Quiz
.
 • 30 min

DueAug 13, 11:59 PM +07"
Why would one use a CNN instead of a fully connected network (DNN)?,"DNNs use the same set of weights when analyzing each region of an input image, and CNNs do not.

DNNs use backpropagation in order to minimize loss, and CNNs do not.

CNNs use the same set of weights when analyzing each region of an input image, and DNNs do not.

CNNs use clustering in order to make predictions, and DNNs do not.","CNNs use the same set of weights when analyzing each region of an input image, and DNNs do not.","Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
"The D-DIMER values are highly concentrated <1k, but there are many samples that are several orders of magnitude apart from the rest of the samples. What is the most likely explanation for this? (Hint: look at the data samples, particularly the exam metadata.)","The data collected from one the clinics may use different units

There is a large disparity in D-DIMER lab values across patient gender

The data was collected from two cohorts from two different time periods

There is a large disparity in D-DIMER lab values across patient age",The data collected from one the clinics may use different units,"Phase 2. Project 2

Graded Quiz
.
 • 30 min

DueJul 30, 11:59 PM +07"
Which of the following strategies can be used in order to accommodate for the missing values in the EHR dataset? Check all that apply. ,"A tree-based model, such as random forest, can be trained after the missing values are synthetically generated, using a process known as 
imputation

A logistic regression model can be trained directly on the data with missing values

A logistic regression model can be trained after the missing values are synthetically generated, using a process known as 
imputation

A tree-based model, such as random forest, can be trained directly on the data with missing values","A tree-based model, such as random forest, can be trained after the missing values are synthetically generated, using a process known as 
imputation

A logistic regression model can be trained after the missing values are synthetically generated, using a process known as 
imputation

A tree-based model, such as random forest, can be trained directly on the data with missing values","Phase 2. Project 2

Graded Quiz
.
 • 30 min

DueJul 30, 11:59 PM +07"
Which of the following is FALSE regarding logistic regression models?,"Logistic regression produces values between 0 and 1, regardless of the scale of the features

Logistic regression uses the sigmoid activation function

Logistic regression can take unstructured inputs, such as images or text

Logistic regression is commonly used for classification problems","Logistic regression can take unstructured inputs, such as images or text","Phase 2. Project 2

Graded Quiz
.
 • 30 min

DueJul 30, 11:59 PM +07"
